date,variant,daily_return,growth_of_1,drawdown
2021-03-02,momentum,0.0014938280331986873,0.9660921856172923,-0.08225546816917628
2021-03-03,momentum,-0.014431044378848495,0.9521504664125904,-0.09549948023647248
2021-03-04,momentum,-0.0016901949690563025,0.9505411464844752,-0.09702826246448559
2021-03-05,momentum,0.014174800720534394,0.964014877812561,-0.0842288180286449
2021-03-08,momentum,-0.0011182343685549527,0.9629368832443927,-0.08525286483805739
2021-03-09,momentum,0.006482489442349269,0.9691791114236732,-0.07932302619195086
2021-03-10,momentum,0.010488742188457916,0.9793445812578347,-0.06966628277482878
2021-03-11,momentum,-0.0022729157817442205,0.9771186135033281,-0.07178085296299863
2021-03-12,momentum,0.01007166966763134,0.9869598294046275,-0.062432136334871546
2021-03-15,momentum,0.0076691027333908555,0.9945289257300615,-0.05524183206889788
2021-03-16,momentum,0.006379579162562221,1.0008736017412143,-0.04921467254710421
2021-03-17,momentum,-0.012668136520103745,0.9881943983149887,-0.06125935087658896
2021-03-18,momentum,-0.007644924803165492,0.9806397264489612,-0.06843595254881218
2021-03-19,momentum,-0.004288702542638803,0.9764340543607269,-0.07243115364774699
2021-03-22,momentum,0.010531184060289774,0.9867170611099347,-0.06266275539822086
2021-03-23,momentum,0.007408663584110343,0.9940273158684003,-0.0557183390881093
2021-03-24,momentum,-0.007493283442210074,0.9865787874412991,-0.06279410922260298
2021-03-25,momentum,0.0026690027702505484,0.9892119689580503,-0.060292704103823036
2021-03-26,momentum,0.014338979197263582,1.003396258802624,-0.0468182607364509
2021-03-29,momentum,0.0119618898802373,1.015398774356663,-0.03541640573552729
2021-03-30,momentum,-0.006981174944547934,1.0083100978743995,-0.04215033255572842
2021-03-31,momentum,0.0009112065119292002,1.0092288766016266,-0.04127753370130405
2021-04-01,momentum,0.010103385499158367,1.0194255049988155,-0.03159119103758434
2021-04-05,momentum,0.010709066526518794,1.0303426005506777,-0.021220436677539145
2021-04-06,momentum,-0.0009876479843546819,1.029324984758049,-0.022187126340382224
2021-04-07,momentum,-0.0013270326792382335,1.0279590368657185,-0.023484715977908466
2021-04-08,momentum,-7.681044990709857e-06,1.0279511410661077,-0.023492216635739194
2021-04-09,momentum,0.004178406571441371,1.032246338869059,-0.019411970096666287
2021-04-12,momentum,-0.0006453588245038773,1.031580169585208,-0.020044801234967324
2021-04-13,momentum,0.0022954267226296334,1.0339480862730086,-0.017795385884742387
2021-04-14,momentum,-0.0023208284679366517,1.0315484701200175,-0.02007491431451991
2021-04-15,momentum,0.011275727120533924,1.0431799291806951,-0.009025546449764499
2021-04-16,momentum,0.002186596307323104,1.0454609425617152,-0.006858685368980044
2021-04-19,momentum,-0.004216214146022168,1.0410530553465729,-0.011045981828726292
2021-04-20,momentum,0.005207234005424387,1.0464740622178244,-0.005896266835503927
2021-04-21,momentum,0.008110574542184982,1.0549615681059052,0.0
2021-04-22,momentum,-0.004466930235607683,1.050249128379929,-0.004466930235607625
2021-04-23,momentum,0.005168376020355017,1.0556772107904464,0.0
2021-04-26,momentum,-0.004974909895222177,1.0504253117883244,-0.0049749098952222015
2021-04-27,momentum,-0.009999645112183998,1.039921431453586,-0.014924807673988849
2021-04-28,momentum,0.003544462812305197,1.0436073942950925,-0.01143324528746481
2021-04-29,momentum,0.003028882724598559,1.0467683587029362,-0.008438992522003641
2021-04-30,momentum,-0.008321709571565061,1.0380574564331064,-0.016690475248724024
2021-05-03,momentum,0.011609531278009424,1.0501088169419375,-0.005274712565159545
2021-05-04,momentum,-0.005907353314631262,1.043905453141452,-0.011150906289035256
2021-05-05,momentum,0.006895812404206626,1.051104029314044,-0.004331988442734636
2021-05-06,momentum,0.006576963041964381,1.0580171016681021,0.0
2021-05-07,momentum,0.0025197442251774817,1.0606830341501694,0.0
2021-05-10,momentum,0.0033823202244305595,1.0642706038282859,0.0
2021-05-11,momentum,-0.006871355627373939,1.0569576220256216,-0.006871355627374065
2021-05-12,momentum,-0.0080557137412853,1.0484430739859136,-0.014871715694710574
2021-05-13,momentum,0.013050304606202469,1.0621255754636931,-0.0020154915083409053
2021-05-14,momentum,0.0012482259468020599,1.063451348165749,-0.0007697813503350082
2021-05-17,momentum,0.007786609324345488,1.0717320283493643,0.0
2021-05-18,momentum,0.0012663619941001658,1.073089229057926,0.0
2021-05-19,momentum,0.00022689244532784434,1.073332704897162,0.0
2021-05-20,momentum,0.010425053639974174,1.0845222559192533,0.0
2021-05-21,momentum,-0.007399768987853156,1.0764970417632655,-0.007399768987853106
2021-05-24,momentum,-0.0006424159438809031,1.0758054829000963,-0.008037431202155165
2021-05-25,momentum,-0.006944921125779017,1.0683340986746745,-0.014926533002181275
2021-05-26,momentum,0.001251369034101629,1.069670978883831,-0.01369384256926498
2021-05-27,momentum,-0.007773597756863336,1.0613557869617978,-0.021360989902249106
2021-05-28,momentum,0.0039235907622439635,1.0655201127229752,-0.017521210922658015
2021-06-01,momentum,-0.0029982296994438356,1.0623254386756544,-0.020466908007143347
2021-06-02,momentum,-0.005054404124805841,1.056956016596526,-0.025417864107695864
2021-06-03,momentum,0.0022558450270813895,1.059340345570409,-0.02321935784296092
2021-06-04,momentum,0.009894307720622574,1.0698217849303533,-0.013554789593911765
2021-06-07,momentum,-0.002334663844785174,1.0673241106887128,-0.015857807561508452
2021-06-08,momentum,-0.004792840999193181,1.0622085959315766,-0.020574644610463433
2021-06-09,momentum,0.001671716127985527,1.0639843071726802,-0.018937323447700827
2021-06-10,momentum,0.008020878125423108,1.0725183956278752,-0.011068339285673301
2021-06-11,momentum,0.0010845356953393024,1.0736815801118416,-0.00999580759937757
2021-06-14,momentum,0.0009521521842082313,1.0747038883734892,-0.009053172945208021
2021-06-15,momentum,-0.009404341920576648,1.0645970055438516,-0.018372375731941837
