rebalance_date,effective_date,fund_id,ticker,asset_class,sector,pre_trade_weight,weight,trade_weight_change,rebalance_turnover,estimation_end
2021-01-04,2021-01-05,combined_equal_weight,SO,equity,Utilities,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,T,equity,Comm,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,TMUS,equity,Comm,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,TRX-USD,crypto,,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,TTWO,equity,Comm,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,UPS,equity,Industrials,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,USB,equity,Financials,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,V,equity,Financials,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,WFC,equity,Financials,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,WMT,equity,Consumer,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,XLM-USD,crypto,,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,XOM,equity,Energy,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_equal_weight,XRP-USD,crypto,,0.016666666666666666,0.016666666666666666,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,ABBV,equity,Healthcare,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,ABT,equity,Healthcare,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,ADA-USD,crypto,,1.7907111627376432e-15,1.7907111627376432e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,ADBE,equity,Tech,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,AEP,equity,Utilities,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,AMD,equity,Tech,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,AMGN,equity,Healthcare,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,AMT,equity,RealEstate,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,BA,equity,Industrials,8.436434127034211e-15,8.436434127034211e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,BCH-USD,crypto,,1.2071070849934921e-14,1.2071070849934921e-14,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,BTC-USD,crypto,,0.5262312396633064,0.5262312396633064,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,CAT,equity,Industrials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,CCI,equity,RealEstate,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,CMCSA,equity,Comm,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,COP,equity,Energy,8.695040160504693e-15,8.695040160504693e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,CVX,equity,Energy,3.831239947100607e-15,3.831239947100607e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,D,equity,Utilities,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,DD,equity,Materials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,DIS,equity,Consumer,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,DOW,equity,Materials,2.7539599112630372e-15,2.7539599112630372e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,DUK,equity,Utilities,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,EA,equity,Comm,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,EOS-USD,crypto,,1.8574489439180487e-14,1.8574489439180487e-14,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,ETC-USD,crypto,,9.586866707823445e-15,9.586866707823445e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,ETH-USD,crypto,,7.59641762870269e-14,7.59641762870269e-14,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,GE,equity,Industrials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,GILD,equity,Healthcare,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,GS,equity,Financials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,INTC,equity,Tech,3.821844272458515e-15,3.821844272458515e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,KO,equity,Consumer,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,LTC-USD,crypto,,8.704726587178586e-15,8.704726587178586e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,MMM,equity,Industrials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,MRK,equity,Healthcare,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,MS,equity,Financials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,NEE,equity,Utilities,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,NEM,equity,Materials,0.13376797136905325,0.13376797136905325,0.0,0.0,2021-01-04
