date,fund_id,asset_family,method,daily_return,growth_of_1,drawdown
2021-01-19,crypto_min_variance,crypto,min_variance,-0.013917590731694494,1.2238659629539101,-0.10942470612419741
2021-01-19,crypto_risk_parity,crypto,risk_parity,0.009261205398617287,1.4821636084777248,-0.05461987853178629
2021-01-19,equity_equal_weight,equity,equal_weight,0.00764116533115495,1.0422381517837698,-0.004784487850057695
2021-01-19,equity_max_sharpe,equity,max_sharpe,0.009634071252128356,0.9819837035799516,-0.033676550574892605
2021-01-19,equity_min_variance,equity,min_variance,0.010018010163563053,1.0196813736593122,0.0
2021-01-19,equity_risk_parity,equity,risk_parity,0.007357763832211608,1.0320840300832956,-0.001173132845323166
2021-01-20,combined_equal_weight,combined,equal_weight,0.005222213668883321,1.0629652774379161,-0.007551907785270262
2021-01-20,combined_max_sharpe,combined,max_sharpe,-0.0025897765642229477,1.187994265971264,-0.06127979582227561
2021-01-20,combined_min_variance,combined,min_variance,0.014970880566674139,1.0349469116287309,0.0
2021-01-20,combined_risk_parity,combined,risk_parity,0.007549618350860977,1.0515320246318047,-0.002639785234470282
2021-01-20,crypto_equal_weight,crypto,equal_weight,-0.004975693156970984,1.4937833404429686,-0.057090889903559705
2021-01-20,crypto_max_sharpe,crypto,max_sharpe,-0.002340720999182633,1.5379663386059232,-0.011148714038095031
2021-01-20,crypto_min_variance,crypto,min_variance,-0.013304183089246044,1.207583426106075,-0.12127308288868022
2021-01-20,crypto_risk_parity,crypto,risk_parity,-0.005343128685196428,1.4742442175851134,-0.05967116617721746
2021-01-20,equity_equal_weight,equity,equal_weight,0.00756711432945491,1.0501248870368374,0.0
2021-01-20,equity_max_sharpe,equity,max_sharpe,0.02699121983305769,1.0084886415957584,-0.007594301921620694
2021-01-20,equity_min_variance,equity,min_variance,0.014970878735530288,1.0349468998532447,0.0
2021-01-20,equity_risk_parity,equity,risk_parity,0.00966920665312291,1.042063463853559,0.0
2021-01-21,combined_equal_weight,combined,equal_weight,-0.030111980050109684,1.0309572882097462,-0.0374364849388098
2021-01-21,combined_max_sharpe,combined,max_sharpe,-0.09247970935886471,1.0781289015342435,-0.14809236747392585
2021-01-21,combined_min_variance,combined,min_variance,-0.00944452362286827,1.0251723310734386,-0.009444523622868406
2021-01-21,combined_risk_parity,combined,risk_parity,-0.02256948344686531,1.0277994900080285,-0.02514969009218293
2021-01-21,crypto_equal_weight,crypto,equal_weight,-0.13692736668502947,1.289243521238146,-0.1862009513723899
2021-01-21,crypto_max_sharpe,crypto,max_sharpe,-0.1614565755930735,1.2896515601971936,-0.1708052564403112
2021-01-21,crypto_min_variance,crypto,min_variance,-0.12909710425852156,1.0516879026451962,-0.23471418332176963
2021-01-21,crypto_risk_parity,crypto,risk_parity,-0.1364400715620934,1.273098231037798,-0.18796969955589782
2021-01-21,equity_equal_weight,equity,equal_weight,-0.008044448833964804,1.0416772111137964,-0.008044448833964823
2021-01-21,equity_max_sharpe,equity,max_sharpe,-0.0005568998849917271,1.007927014387238,-0.008146972540745812
