date,sentiment,n_tickers,n_headlines,index_0_100,standardised_sentiment,news_available,model
2020-04-21,-0.07442188997508146,47,230,46.27890550124592,-4.285560507454825,True,vader_finance_enhanced
2020-04-22,0.14498220735147205,44,232,57.24911036757361,0.5131502510338417,True,vader_finance_enhanced
2020-04-23,0.17567951667294057,46,259,58.78397583364703,1.1845484167587872,True,vader_finance_enhanced
2020-04-24,-8.975396256705413e-05,39,206,49.99551230187165,-2.659800436740201,True,vader_finance_enhanced
2020-04-27,0.10534821829814178,49,346,55.26741091490709,-0.3537070774733952,True,vader_finance_enhanced
2020-04-28,0.12721026316834563,45,319,56.36051315841728,0.12445003627031621,True,vader_finance_enhanced
2020-04-29,0.13052583189726216,44,404,56.52629159486311,0.19696670995066123,True,vader_finance_enhanced
2020-04-30,0.07337665688035369,47,321,53.668832844017686,-1.052975129486446,True,vader_finance_enhanced
2020-05-01,0.02236995965739821,44,340,51.11849798286991,-2.1685713726799745,True,vader_finance_enhanced
2020-05-04,0.10739928108673415,47,299,55.369964054336705,-0.3088471264064615,True,vader_finance_enhanced
2020-05-05,0.16654155644866642,46,299,58.32707782243332,0.9846869348029582,True,vader_finance_enhanced
2020-05-06,0.08034236483482282,42,247,54.01711824174114,-0.9006242020930967,True,vader_finance_enhanced
2020-05-07,0.14563060657596372,42,181,57.28153032879819,0.5273317561756207,True,vader_finance_enhanced
2020-05-08,0.14299786656746033,40,203,57.14989332837301,0.46974961456089454,True,vader_finance_enhanced
2020-05-11,0.10854164529698142,46,247,55.42708226484907,-0.28386183446058255,True,vader_finance_enhanced
2020-05-12,0.005192280148423,42,202,50.25961400742115,-2.544274089584585,True,vader_finance_enhanced
2020-05-13,0.1171866559324514,44,217,55.859332796622574,-0.09478193098943627,True,vader_finance_enhanced
2020-05-14,0.1175778047885821,49,219,55.878890239429104,-0.08622689374557269,True,vader_finance_enhanced
2020-05-15,0.09233124478916145,48,258,54.61656223945808,-0.6384086467769784,True,vader_finance_enhanced
2020-05-18,0.20457799791225326,47,268,60.22889989561266,1.8166033989438868,True,vader_finance_enhanced
2020-05-19,0.08878681835258759,39,155,54.43934091762937,-0.7159307964592768,True,vader_finance_enhanced
2020-05-20,0.10741747220683145,42,182,55.370873610341576,-0.30844925815886,True,vader_finance_enhanced
2020-05-21,0.08370544107744109,45,157,54.185272053872055,-0.8270684647859213,True,vader_finance_enhanced
2020-05-22,0.05725485042735043,39,135,52.86274252136752,-1.405584251262112,True,vader_finance_enhanced
2020-05-26,0.16335086309523808,44,248,58.1675431547619,0.9149014808907364,True,vader_finance_enhanced
2020-05-27,0.15395142604617604,40,175,57.6975713023088,0.70932109182472,True,vader_finance_enhanced
2020-05-28,0.09227115317306807,47,196,54.6135576586534,-0.639722944404762,True,vader_finance_enhanced
2020-05-29,0.12227112301587302,40,152,56.113556150793656,0.01642331627667283,True,vader_finance_enhanced
2020-06-01,0.08168718392917555,44,221,54.08435919645878,-0.8712109051905943,True,vader_finance_enhanced
2020-06-02,0.16036262196797912,42,142,58.01813109839895,0.8495439738019188,True,vader_finance_enhanced
2020-06-03,0.21208042855459608,41,164,60.604021427729805,1.9806932909600847,True,vader_finance_enhanced
2020-06-04,0.10998104563492064,40,119,55.49905228174603,-0.2523798978349385,True,vader_finance_enhanced
2020-06-05,0.24041512345679011,36,141,62.02075617283951,2.600417384185561,True,vader_finance_enhanced
2020-06-08,0.1369529176869721,41,150,56.84764588434861,0.3375371281908773,True,vader_finance_enhanced
2020-06-09,0.1770194362745098,34,141,58.850971813725494,1.2138545540912642,True,vader_finance_enhanced
2020-06-10,0.01461494367784993,32,160,50.7307471838925,-2.3381857010665668,True,vader_finance_enhanced
2020-06-11,0.11123100666529237,42,164,55.56155033326462,-0.22504129515055538,True,vader_finance_enhanced
2020-06-12,0.07116559884559885,33,95,53.55827994227994,-1.101334426820939,True,vader_finance_enhanced
2020-06-15,0.1245513470199834,33,144,56.22756735099917,0.06629538153716187,True,vader_finance_enhanced
2020-06-16,0.16085080882352942,34,113,58.04254044117647,0.8602213838613819,True,vader_finance_enhanced
2020-06-17,0.011788738095238088,35,80,50.58943690476191,-2.399999237368921,True,vader_finance_enhanced
2020-06-18,0.10563905423280423,36,97,55.281952711640216,-0.3473460407123425,True,vader_finance_enhanced
2020-06-19,0.06786819764464926,31,80,53.39340988223247,-1.173453748250472,True,vader_finance_enhanced
2020-06-22,0.13289549107142856,32,119,56.64477455357143,0.24879486225767583,True,vader_finance_enhanced
2020-06-23,0.11852929487179487,39,123,55.92646474358974,-0.06541631748676825,True,vader_finance_enhanced
2020-06-24,-0.059588449101403644,33,99,47.02057754492982,-3.9611299559142155,True,vader_finance_enhanced
2020-06-25,0.01741023076563959,30,133,50.87051153828198,-2.2770484006027742,True,vader_finance_enhanced
2020-06-26,0.08668070667773282,27,85,54.334035333886646,-0.7619947527657162,True,vader_finance_enhanced
2020-06-29,0.10537901453385325,31,160,55.268950726692665,-0.3530335156327993,True,vader_finance_enhanced
2020-06-30,0.12967212053571428,32,119,56.483606026785715,0.17829470726145702,True,vader_finance_enhanced
2020-07-01,0.05752698327815975,34,92,52.87634916390799,-1.3996322801967163,True,vader_finance_enhanced
2020-07-02,0.1436454805871212,32,110,57.18227402935606,0.4839139460449567,True,vader_finance_enhanced
2020-07-06,0.04619406912290608,40,207,52.30970345614531,-1.6475008375505105,True,vader_finance_enhanced
2020-07-07,0.06680331085581086,26,80,53.340165542790544,-1.196744487814764,True,vader_finance_enhanced
2020-07-08,0.10174557603686636,31,86,55.08727880184332,-0.43250249829198356,True,vader_finance_enhanced
2020-07-09,0.11457663210445469,31,89,55.72883160522274,-0.15186723420817305,True,vader_finance_enhanced
2020-07-10,0.10034722222222223,32,93,55.01736111111111,-0.4630866832560369,True,vader_finance_enhanced
2020-07-13,0.1336126455026455,36,100,56.68063227513227,0.2644801513042906,True,vader_finance_enhanced
