fund_id,asset_family,method,rebalance_date,effective_date,estimation_start,estimation_end,n_estimation_observations,turnover
equity_max_sharpe,equity,max_sharpe,2022-06-01,2022-06-02,2020-01-03,2022-06-01,608,0.0875180555290038
equity_min_variance,equity,min_variance,2022-06-01,2022-06-02,2020-01-03,2022-06-01,608,0.061362707179382005
equity_risk_parity,equity,risk_parity,2022-06-01,2022-06-02,2020-01-03,2022-06-01,608,0.028388505033290257
crypto_equal_weight,crypto,equal_weight,2022-07-01,2022-07-02,2020-01-02,2022-07-01,912,0.05915773619039264
crypto_max_sharpe,crypto,max_sharpe,2022-07-01,2022-07-02,2020-01-02,2022-07-01,912,0.13163890380110144
crypto_min_variance,crypto,min_variance,2022-07-01,2022-07-02,2020-01-02,2022-07-01,912,0.0017150391831081966
crypto_risk_parity,crypto,risk_parity,2022-07-01,2022-07-02,2020-01-02,2022-07-01,912,0.057578474989023694
combined_equal_weight,combined,equal_weight,2022-07-01,2022-07-05,2020-01-03,2022-07-01,629,0.04705453739563341
combined_max_sharpe,combined,max_sharpe,2022-07-01,2022-07-05,2020-01-03,2022-07-01,629,0.22024088086757146
combined_min_variance,combined,min_variance,2022-07-01,2022-07-05,2020-01-03,2022-07-01,629,0.04744936378642133
combined_risk_parity,combined,risk_parity,2022-07-01,2022-07-05,2020-01-03,2022-07-01,629,0.040676629926238
equity_equal_weight,equity,equal_weight,2022-07-01,2022-07-05,2020-01-03,2022-07-01,629,0.04022321974948853
equity_max_sharpe,equity,max_sharpe,2022-07-01,2022-07-05,2020-01-03,2022-07-01,629,0.1695493440828554
equity_min_variance,equity,min_variance,2022-07-01,2022-07-05,2020-01-03,2022-07-01,629,0.047449365367628976
equity_risk_parity,equity,risk_parity,2022-07-01,2022-07-05,2020-01-03,2022-07-01,629,0.03628268297226295
combined_equal_weight,combined,equal_weight,2022-08-01,2022-08-02,2020-01-03,2022-08-01,649,0.041993008935586856
combined_max_sharpe,combined,max_sharpe,2022-08-01,2022-08-02,2020-01-03,2022-08-01,649,0.33337057296654643
combined_min_variance,combined,min_variance,2022-08-01,2022-08-02,2020-01-03,2022-08-01,649,0.04858935761211741
combined_risk_parity,combined,risk_parity,2022-08-01,2022-08-02,2020-01-03,2022-08-01,649,0.039164358292230764
crypto_equal_weight,crypto,equal_weight,2022-08-01,2022-08-02,2020-01-02,2022-08-01,943,0.0927318611015717
crypto_max_sharpe,crypto,max_sharpe,2022-08-01,2022-08-02,2020-01-02,2022-08-01,943,0.15017992766796467
crypto_min_variance,crypto,min_variance,2022-08-01,2022-08-02,2020-01-02,2022-08-01,943,0.015339809244365964
crypto_risk_parity,crypto,risk_parity,2022-08-01,2022-08-02,2020-01-02,2022-08-01,943,0.09234954472874984
equity_equal_weight,equity,equal_weight,2022-08-01,2022-08-02,2020-01-03,2022-08-01,649,0.031036589262804334
