fund_id,asset_family,method,cost_bps,annualised_return,annualised_volatility,sharpe,max_drawdown,final_growth_of_1,growth_drag_vs_gross,mean_rebalance_turnover,total_rebalance_turnover,n_cost_events,sharpe_change_vs_gross
crypto_risk_parity,crypto,risk_parity,100,0.35271320438582454,0.7878495072887629,0.7819388671181999,-0.8044666903285296,2.473191358451312,-0.002646481021434166,0.003070925621912973,0.10748239676695405,35,-0.0004534250730328093
equity_equal_weight,equity,equal_weight,0,0.13183410303230847,0.16155927743297827,0.8474133465869584,-0.2032186262691359,1.4470869646629423,0.0,0.0,0.0,0,0.0
equity_equal_weight,equity,equal_weight,10,0.13183410303230847,0.16155927743297827,0.8474133465869584,-0.2032186262691359,1.4470869646629423,0.0,0.0,0.0,0,0.0
equity_equal_weight,equity,equal_weight,25,0.13183410303230847,0.16155927743297827,0.8474133465869584,-0.2032186262691359,1.4470869646629423,0.0,0.0,0.0,0,0.0
equity_equal_weight,equity,equal_weight,50,0.13183410303230847,0.16155927743297827,0.8474133465869584,-0.2032186262691359,1.4470869646629423,0.0,0.0,0.0,0,0.0
equity_equal_weight,equity,equal_weight,100,0.13183410303230847,0.16155927743297827,0.8474133465869584,-0.2032186262691359,1.4470869646629423,0.0,0.0,0.0,0,0.0
equity_max_sharpe,equity,max_sharpe,0,0.11948743784247284,0.23635439378881445,0.5954476775743794,-0.3847107467731876,1.4004886412114712,0.0,0.16107701257247478,5.637695440036618,35,0.0
equity_max_sharpe,equity,max_sharpe,10,0.11737973735419382,0.23633703301395234,0.5874976315311813,-0.3852996904215735,1.3926349262951907,-0.007853714916280508,0.16107701257247478,5.637695440036618,35,-0.007950046043198156
equity_max_sharpe,equity,max_sharpe,25,0.1142248063419753,0.2363139972051529,0.5755630523648401,-0.3861822800913395,1.38093382931005,-0.019554811901421276,0.16107701257247478,5.637695440036618,35,-0.019884625209539375
equity_max_sharpe,equity,max_sharpe,50,0.1089841971082397,0.236283620968966,0.555648062660519,-0.3876510627990659,1.3616421032278916,-0.03884653798357962,0.16107701257247478,5.637695440036618,35,-0.039799614913860415
equity_max_sharpe,equity,max_sharpe,100,0.09856872038190723,0.23625294372441966,0.5157370556860182,-0.3905803918614267,1.3238343211988202,-0.07665432001265104,0.16107701257247478,5.637695440036618,35,-0.0797106218883612
equity_min_variance,equity,min_variance,0,0.06956140740005878,0.12794254006288777,0.5896130116650651,-0.18313016101253765,1.2222318287572964,0.0,0.022335028991926915,0.7817260147174421,35,0.0
equity_min_variance,equity,min_variance,10,0.06928204093968748,0.12793726523899693,0.5875897444646253,-0.18328772840977736,1.2212794123046928,-0.0009524164526035772,0.022335028991926915,0.7817260147174421,35,-0.002023267200439771
equity_min_variance,equity,min_variance,25,0.06886311182284155,0.1279294684459517,0.5845540033254404,-0.18352403672445539,1.219852123700233,-0.0023797050570633083,0.022335028991926915,0.7817260147174421,35,-0.005059008339624693
equity_min_variance,equity,min_variance,50,0.06816521804972342,0.12791678170058787,0.5794922174770065,-0.18391776985201536,1.2174768679614532,-0.004754960795843255,0.022335028991926915,0.7817260147174421,35,-0.010120794188058557
equity_min_variance,equity,min_variance,100,0.06677063510408154,0.1278925632792461,0.5693604907647559,-0.18470480850090998,1.212739672514255,-0.00949215624304145,0.022335028991926915,0.7817260147174421,35,-0.020252520900309157
equity_risk_parity,equity,risk_parity,0,0.10570753728390381,0.14980768374774803,0.745721019587464,-0.19560539174599945,1.3496715937645858,0.0,0.0022871332350603655,0.0800496632271128,35,0.0
equity_risk_parity,equity,risk_parity,10,0.1056780108256965,0.1498069280807879,0.745545716370829,-0.19562272518680546,1.3495640451087039,-0.0001075486558819172,0.0022871332350603655,0.0800496632271128,35,-0.00017530321663494774
equity_risk_parity,equity,risk_parity,25,0.10563372245318914,0.14980579553778148,0.7452827534665866,-0.19564872477626993,1.3494027375977542,-0.0002688561668315881,0.0022871332350603655,0.0800496632271128,35,-0.00043826612087738415
equity_risk_parity,equity,risk_parity,50,0.10555991200503789,0.1498039105193252,0.7448444604288166,-0.1956920559007609,1.349133933002114,-0.0005376607624718588,0.0022871332350603655,0.0800496632271128,35,-0.000876559158647372
equity_risk_parity,equity,risk_parity,100,0.10541230425550197,0.14980015005742495,0.7439677937082018,-0.19577871243266498,1.348596478486322,-0.0010751152782637607,0.0022871332350603655,0.0800496632271128,35,-0.001753225879262188
